URLs,Neighborhood
https://www.centralsaloon.com/,Pioneer Square
https://babayagaseattle.com/, Pioneer Square
https://elcorazonseattle.com/,Capitol Hill
https://elcorazonseattle.com/,Capitol Hill
https://nectarlounge.com/,Fremont
https://nectarlounge.com/,Fremont
https://tractortavern.com/,Ballard
https://www.ballardjamhouse.com/schedule.html,Ballard
https://www.seamonsterlounge.com/,Wallingford
https://www.thecrocodile.com/,Belltown
https://www.thecrocodile.com/,Belltown
https://www.neumos.com/events,Capitol Hill
https://www.showboxpresents.com/events/all,Pike Place Market
https://www.showboxpresents.com/events/all,SODO
https://www.wamutheater.com/,SODO
https://www.climatepledgearena.com/events/,South Lake Union
